,casting_time,classes,description,duration,level,name,range,ritual,school,tags,type,components.material,components.raw,components.somatic,components.verbal,components.materials_needed,higher_levels,namesFR,descrisFR,descrisHLFR
10,1 action,"['sorcerer', 'wizard']","A dazzling array of flashing, colored light springs from your hand. Roll 6d10; the total is how many hit points of creatures this spell can effect. Creatures in a 15-foot cone originating from you are affected in ascending order of their current hit points (ignoring unconscious creatures and creatures that can't see).

Starting with the creature that has the lowest current hit points, each creature affected by this spell is blinded until the spell ends. Subtract each creature's hit points from the total before moving on to the creature with the next lowest hit points. A creature's hit points must be equal to or less than the remaining total for that creature to be affected.",1 round,1,Color Spray,Self (15-foot cone),False,illusion,"['sorcerer', 'wizard', 'level1']",1st-level illusion,True,"V, S, M (a pinch of powder or sand that is colored red, yellow, and blue)",True,True,"['a pinch of powder or sand that is colored red, yellow, and blue']","When you cast this spell using a spell slot of 2nd level or higher, roll an additional 2d10 for each slot level above 1st.",Spray de couleur,"Un éventail éblouissant de lumières colorées et scintillantes jaillit de votre main. Lancez 6d10 ; le total correspond au nombre de points de vie des créatures que ce sort peut affecter. Les créatures dans un cône de 4,5 m provenant de vous sont affectées dans l'ordre croissant de leurs points de vie actuels (ignorant les créatures inconscientes et les créatures qui ne peuvent pas voir).

En commençant par la créature qui a le moins de points de vie actuels, chaque créature affectée par ce sort est aveuglée jusqu'à la fin du sort. Soustrayez les points de vie de chaque créature du total avant de passer à la créature ayant le moins de points de vie suivant. Les points de vie d'une créature doivent être égaux ou inférieurs au total restant pour que cette créature soit affectée.","Lorsque vous lancez ce sort en utilisant un emplacement de sort de niveau 2 ou supérieur, lancez 2d10 supplémentaires pour chaque niveau d'emplacement supérieur au 1er."
11,1 action,"['cleric', 'paladin']","You speak a one-word command to a creature you can see within range. The target must succeed on a Wisdom saving throw or follow the command on its next turn. The spell has no effect if the target is undead, if it doesn’t understand your language, or if your command is directly harmful to it.

Some typical commands and their effects follow. You might issue a command other than one described here. If you do so, the DM determines how the target behaves. If the target can’t follow your command, the spell ends.

Approach: The target moves toward you by the shortest and most direct route, Ending its turn if it moves within 5 feet of you.
Drop: The target drops whatever it is holding and then ends its turn.
Flee: The target spends its turn moving away from you by the fastest available means.
Grovel: The target falls prone and then ends its turn.
Halt: The target doesn't move and takes no Actions. A flying creature stays aloft, provided that it is able to do so. If it must move to stay aloft, it flies the minimum distance needed to remain in the air.",1 round,1,Command,60 feet,False,enchantment,"['cleric', 'paladin', 'level1']",1st-level enchantment,False,V,False,True,,"When you cast this spell using a spell slot of 2nd level or higher, you can affect one additional creature for each slot level above 1st. The creatures must be within 30 feet of each other when you target them.",Commande,"Vous prononcez un ordre d'un seul mot à une créature que vous pouvez voir à portée. La cible doit réussir un jet de sauvegarde de Sagesse ou suivre l'ordre à son prochain tour. Le sort n'a aucun effet si la cible est morte-vivante, si elle ne comprend pas votre langue ou si votre ordre lui est directement nuisible.

Certains ordres typiques et leurs effets suivent. Vous pouvez donner un ordre autre que celui décrit ici. Si vous le faites, le MD détermine comment la cible se comporte. Si la cible ne peut pas suivre votre ordre, le sort prend fin.

Approche : La cible se déplace vers vous par le chemin le plus court et le plus direct, mettant fin à son tour si elle se déplace à moins de 1,50 mètre de vous.
Lâcher prise : La cible lâche ce qu'elle tient et termine son tour.
Fuir : La cible passe son tour à s'éloigner de vous par le moyen le plus rapide disponible.
Ramper : La cible tombe à terre et termine son tour.
Halte : La cible ne bouge pas et n'entreprend aucune action. Une créature volante reste en l'air, à condition qu'elle soit capable de le faire. S'il doit se déplacer pour rester en l'air, il parcourt la distance minimale nécessaire pour rester en l'air.","Lorsque vous lancez ce sort en utilisant un emplacement de sort de niveau 2 ou supérieur, vous pouvez affecter une créature supplémentaire pour chaque niveau d'emplacement supérieur au 1er. Les créatures doivent se trouver à 9 mètres maximum les unes des autres lorsque vous les ciblez."
12,1 bonus action,['paladin'],"You attempt to compel a creature into a duel. One creature that you can see within range must make a Wisdom saving throw. On a failed save, the creature is drawn to you, compelled by your divine demand. For the duration, it has disadvantage on attack rolls against creatures other than you, and must make a Wisdom saving throw each time it attempts to move into a space that is more than 30 feet away from you; if it succeeds on this saving throw, the spell doesn't restrict the target's movement for that turn.

The spell ends if you attack any other creature, if you cast a spell that targets a hostile creature other than the target, if a creature friendly to you damages the target or casts a harmful spell on it, or if you end your turn more than 30 feet away from the target.","Concentration, up to 1 minute",1,Compelled Duel,30 feet,False,enchantment,"['paladin', 'level1']",1st-level enchantment,False,V,False,True,,,Duel forcé,"Vous tentez de contraindre une créature à un duel. Une créature que vous pouvez voir à portée doit réussir un jet de sauvegarde de Sagesse. En cas d'échec, la créature est attirée vers vous, forcée par votre demande divine. Pendant toute la durée du sort, elle a un désavantage sur les jets d'attaque contre les créatures autres que vous, et doit réussir un jet de sauvegarde de Sagesse chaque fois qu'elle tente de se déplacer dans un espace situé à plus de 9 mètres de vous ; si elle réussit ce jet de sauvegarde, le sort ne restreint pas le mouvement de la cible pour ce tour.

Le sort prend fin si vous attaquez une autre créature, si vous lancez un sort qui cible une créature hostile autre que la cible, si une créature amie envers vous blesse la cible ou lui lance un sort nuisible, ou si vous terminez votre tour à plus de 9 mètres de la cible.",
13,1 action,"['bard', 'sorcerer', 'warlock', 'wizard']","For the duration, you understand the literal meaning of any spoken language that you hear. You also understand any written language that you see, but you must be touching the surface on which the words are written. It takes about 1 minute to read one page of text.

This spell doesn’t decode secret messages in a text or a glyph, such as an arcane sigil, that isn’t part of a written language.",1 hour,1,Comprehend Languages,Self,True,divination,"['bard', 'sorcerer', 'warlock', 'wizard', 'level1']",1st-level divination (Ritual),True,"V, S, M (a pinch of soot and salt)",True,True,['a pinch of soot and salt'],,Comprendre les langues,"Pendant toute la durée du sort, vous comprenez le sens littéral de toute langue parlée que vous entendez. Vous comprenez également toute langue écrite que vous voyez, mais vous devez toucher la surface sur laquelle les mots sont écrits. Il faut environ 1 minute pour lire une page de texte.

Ce sort ne décode pas les messages secrets contenus dans un texte ou un glyphe, comme un sceau arcanique, qui ne fait pas partie d'une langue écrite.",
14,1 action,"['cleric', 'druid']","You either create or destroy water.

Create Water: You create up to 10 gallons of clean water within range in an open container. Alternatively, the water falls as rain in a 30-foot cube within range, extinguishing exposed flames in the area.

Destroy Water: You destroy up to 10 gallons of water in an open container within range. Alternatively, you destroy fog in a 30-foot cube within range.",Instantaneous,1,Create or Destroy Water,30 feet,False,transmutation,"['cleric', 'druid', 'level1']",1st-level transmutation,True,"V, S, M (a drop of water if creating water, or a few grains of sand if destroying it)",True,True,"['a drop of water if creating water, or a few grains of sand if destroying it']","When you cast this spell using a spell slot of 2nd level or higher, you create or destroy 10 additional gallons of water, or the size of the cube increases by 5 feet, for each slot level above 1st.",Créer ou détruire de l'eau,"Vous créez ou détruisez de l'eau.

Créer de l'eau : vous créez jusqu'à 10 gallons d'eau propre à portée dans un récipient ouvert. Alternativement, l'eau tombe sous forme de pluie dans un cube de 30 pieds à portée, éteignant les flammes exposées dans la zone.

Détruire de l'eau : vous détruisez jusqu'à 10 gallons d'eau dans un récipient ouvert à portée. Alternativement, vous détruisez du brouillard dans un cube de 30 pieds à portée.","Lorsque vous lancez ce sort en utilisant un emplacement de sort de niveau 2 ou supérieur, vous créez ou détruisez 10 gallons d'eau supplémentaires, ou la taille du cube augmente de 5 pieds, pour chaque niveau d'emplacement supérieur au 1er."
15,1 action,"['bard', 'cleric', 'druid', 'paladin', 'ranger']",A creature you touch regains a number of hit points equal to 1d8 + your spellcasting ability modifier. This spell has no effect on undead or constructs.,Instantaneous,1,Cure Wounds,Touch,False,evocation,"['bard', 'cleric', 'druid', 'paladin', 'ranger', 'level1']",1st-level evocation,False,"V, S",True,True,,"When you cast this spell using a spell slot of 2nd level or higher, the healing increases by 1d8 for each slot level above 1st.",Guérir les blessures,Une créature que vous touchez récupère un nombre de points de vie égal à 1d8 + votre modificateur de caractéristique de lancement de sorts. Ce sort n'a aucun effet sur les morts-vivants ou les créatures artificielles.,"Lorsque vous lancez ce sort en utilisant un emplacement de sort de niveau 2 ou supérieur, les soins augmentent de 1d8 pour chaque niveau d'emplacement supérieur au 1er."
16,1 action,"['bard', 'sorcerer', 'wizard']","You create up to four torch-sized lights within range, making them appear as torches, lanterns, or glowing orbs that hover in the air for the duration. You can also combine the four lights into one glowing vaguely humanoid form of Medium size. Whichever form you choose, each light sheds dim light in a 10-foot radius. As a bonus action on your turn, you can move the lights up to 60 feet to a new spot within range. A light must be within 20 feet of another light created by this spell, and a light winks out if it exceeds the spell’s range.","Concentration, up to 1 minute",cantrip,Dancing Lights,120 feet,False,evocation,"['bard', 'sorcerer', 'wizard', 'cantrip']",Evocation cantrip,True,"V, S, M (a bit of phosphorus or wychwood, or a glowworm)",True,True,"['a bit of phosphorus or wychwood, or a glowworm']",,Lumières dansantes,"Vous créez jusqu'à quatre lumières de la taille d'une torche à portée, les faisant apparaître comme des torches, des lanternes ou des orbes lumineuses qui flottent dans les airs pendant la durée du sort. Vous pouvez également combiner les quatre lumières en une seule forme vaguement humanoïde lumineuse de taille moyenne. Quelle que soit la forme que vous choisissez, chaque lumière diffuse une faible lumière dans un rayon de 3 mètres. En tant qu'action bonus lors de votre tour, vous pouvez déplacer les lumières jusqu'à 18 mètres vers un nouvel endroit à portée. Une lumière doit se trouver à moins de 6 mètres d'une autre lumière créée par ce sort, et une lumière s'éteint si elle dépasse la portée du sort.",
17,1 action,"['cleric', 'paladin']","For the duration, you know if there is an aberration, celestial, elemental, fey, fiend, or undead within 30 feet of you, as well as where the creature is located. Similarly, you know if there is a place or object within 30 feet of you that has been magically consecrated or desecrated.

The spell can penetrate most barriers, but it is blocked by 1 foot of stone, 1 inch of common metal, a thin sheet of lead, or 3 feet of wood or dirt.","Concentration, up to 10 minutes",1,Detect Evil and Good,Self,False,divination,"['cleric', 'paladin', 'level1']",1st-level divination,False,"V, S",True,True,,,Détecter le mal et le bien,"Pendant la durée du sort, vous savez s'il y a une aberration, un être céleste, un élémental, une fée, un démon ou un mort-vivant à moins de 9 mètres de vous, ainsi que l'endroit où se trouve la créature. De même, vous savez s'il y a un lieu ou un objet à moins de 9 mètres de vous qui a été consacré ou profané par magie.

Le sort peut pénétrer la plupart des barrières, mais il est bloqué par 30 centimètres de pierre, 2,5 centimètres de métal ordinaire, une fine feuille de plomb ou 90 centimètres de bois ou de terre.",
18,1 action,"['bard', 'cleric', 'druid', 'paladin', 'ranger', 'sorcerer', 'wizard']","For the duration, you sense the presence of magic within 30 feet of you. If you sense magic in this way, you can use your action to see a faint aura around any visible creature or object in the area that bears magic, and you learn its school of magic, if any.

The spell can penetrate most barriers, but it is blocked by 1 foot of stone, 1 inch of common metal, a thin sheet of lead, or 3 feet of wood or dirt.","Concentration, up to 10 minutes",1,Detect Magic,Self,True,divination,"['bard', 'cleric', 'druid', 'paladin', 'ranger', 'sorcerer', 'wizard', 'level1']",1st-level divination (Ritual),False,"V, S",True,True,,,Détecter la magie,"Pendant la durée du sort, vous ressentez la présence de magie dans un rayon de 9 mètres autour de vous. Si vous ressentez de la magie de cette manière, vous pouvez utiliser votre action pour voir une faible aura autour de toute créature ou objet visible dans la zone qui porte de la magie, et vous apprenez son école de magie, le cas échéant.

Le sort peut pénétrer la plupart des barrières, mais il est bloqué par 30 centimètres de pierre, 2,5 centimètres de métal ordinaire, une fine feuille de plomb ou 90 centimètres de bois ou de terre.",
19,1 action,"['cleric', 'druid', 'paladin', 'ranger']","For the duration, you can sense the presence and location of poisons, poisonous creatures, and diseases within 30 feet of you. You also identify the kind of poison, poisonous creature, or disease in each case.

The spell can penetrate most barriers, but it is blocked by 1 foot of stone, 1 inch of common metal, a thin sheet of lead, or 3 feet of wood or dirt.","Concentration, up to 10 minutes",1,Detect Poison and Disease,Self,True,divination,"['cleric', 'druid', 'paladin', 'ranger', 'level1']",1st-level divination (Ritual),True,"V, S, M (a yew leaf)",True,True,['a yew leaf'],,Détecter le poison et la maladie,"Pendant la durée du sort, vous pouvez détecter la présence et l'emplacement des poisons, des créatures venimeuses et des maladies dans un rayon de 9 mètres autour de vous. Vous pouvez également identifier le type de poison, de créature venimeuse ou de maladie dans chaque cas.

Le sort peut pénétrer la plupart des barrières, mais il est bloqué par 30 centimètres de pierre, 2,5 centimètres de métal ordinaire, une fine feuille de plomb ou 90 centimètres de bois ou de terre.",
20,1 action,"['bard', 'cleric', 'sorcerer', 'wizard']","You make yourself -- including your clothing, armor, weapons, and other belongings on your person -- look different until the spell ends or until you use your action to dismiss it. You can seem 1 foot shorter or taller and can appear thin, fat, or in between. You can't change your body type, so you must adopt a form that has the same basic arrangement of limbs. Otherwise, the extent of the illusion is up to you.

The changes wrought by this spell fail to hold up to physical inspection. For example, if you use this spell to add a hat to your outfit, objects pass through the hat, and anyone who touches it would feel nothing or would feel your head and hair. If you use this spell to appear thinner than you are, the hand of someone who reaches out to touch you would bump into you while it was seemingly still in midair.

To discern that you are disguised, a creature can use its action to inspect your apperance and must succeed on an Intelligence (Investigation) check against your spell save DC.",1 hour,1,Disguise Self,Self,False,illusion,"['bard', 'cleric (trickery)', 'sorcerer', 'wizard', 'level1']",1st-level illusion,False,"V, S",True,True,,,Se déguiser,"Vous vous faites paraître différent (y compris vos vêtements, votre armure, vos armes et vos autres effets personnels) jusqu'à ce que le sort prenne fin ou jusqu'à ce que vous utilisiez votre action pour le faire disparaître. Vous pouvez paraître plus petit ou plus grand de 30 centimètres et paraître mince, gros ou entre les deux. Vous ne pouvez pas changer de type de corps, vous devez donc adopter une forme qui a la même disposition de base des membres. Sinon, l'étendue de l'illusion dépend de vous.

Les changements provoqués par ce sort ne résistent pas à une inspection physique. Par exemple, si vous utilisez ce sort pour ajouter un chapeau à votre tenue, les objets passent à travers le chapeau et quiconque le touche ne sentira rien ou sentira votre tête et vos cheveux. Si vous utilisez ce sort pour paraître plus mince que vous ne l'êtes, la main de quelqu'un qui vous touche vous heurtera alors qu'elle semble encore en l'air.

Pour discerner que vous êtes déguisé, une créature peut utiliser son action pour inspecter votre apparence et doit réussir un test d'Intelligence (Investigation) contre le DD de sauvegarde de votre sort.",
21,1 bonus action,['paladin'],"Your prayer empowers you with divine radiance. Until the spell ends, your weapon attacks deal an extra 1d4 radiant damage on a hit.","Concentration, up to 1 minute",1,Divine Favor,Self,False,evocation,"['paladin', 'level1']",1st-level evocation,False,"V, S",True,True,,,Faveur divine,"Votre prière vous confère un rayonnement divin. Jusqu'à la fin du sort, vos attaques d'arme infligent 1d4 dégâts radiants supplémentaires à chaque coup.",
22,1 action,['bard'],"You whisper a discordant melody that only one creature of your choice within range can hear, wracking it with terrible pain. The target must make a Wisdom saving throw. On a failed save, it takes 3d6 psychic damage and must immediately use its reaction, if available, to move as far as its speed allows away from you. The creature doesn't move into obviously dangerous ground, such as a fire or a pit. On a successful save, the target takes half as much damage and doesn't have to move away. A deafened creature automatically succeeds on the save.",Instantaneous,1,Dissonant Whispers,60 feet,False,enchantment,"['bard', 'level1']",1st-level enchantment,False,V,False,True,,"When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d6 for each slot level above 1st.",Chuchotements dissonants,"Vous murmurez une mélodie discordante que seule une créature de votre choix à portée peut entendre, la secouant d'une douleur terrible. La cible doit réussir un jet de sauvegarde de Sagesse. En cas d'échec, elle subit 3d6 dégâts psychiques et doit immédiatement utiliser sa réaction, si elle en a la possibilité, pour s'éloigner de vous aussi loin que sa vitesse le lui permet. La créature ne se déplace pas sur un terrain manifestement dangereux, comme un feu ou une fosse. En cas de réussite, la cible subit la moitié des dégâts et n'a pas à s'éloigner. Une créature assourdie réussit automatiquement son jet de sauvegarde.","Lorsque vous lancez ce sort en utilisant un emplacement de sort de niveau 2 ou supérieur, les dégâts augmentent de 1d6 pour chaque niveau d'emplacement supérieur au 1er."
23,1 action,['druid'],"Whispering to the spirits of nature, you create one of the following effects within range:

* You create a tiny, harmless sensory effect that predicts what the weather will be at your location for the next 24 hours. The effect might manifest as a golden orb for clear skies, a cloud for rain, falling snowflakes for snow, and so on. This effect persists for 1 round.

* You instantly make a flower bloom, a seed pod open, or a leaf bud bloom.

* You create an instantenous, harmless sensory effect, such as falling leaves, a puff of wind, the sound of a small animal, or the faint order of skunk. The effect must fit in a 5-foot cube.

* You instantly light or snuff out a candle, a torch, or a small campfire.",Instantaneous,cantrip,Druidcraft,30 feet,False,transmutation,"['druid', 'cantrip']",Transmutation cantrip,False,"V, S",True,True,,,Druidisme,"En chuchotant aux esprits de la nature, vous créez l'un des effets suivants à portée :

* Vous créez un effet sensoriel minuscule et inoffensif qui prédit le temps qu'il fera à votre emplacement pour les 24 heures à venir. L'effet peut se manifester par un orbe doré pour un ciel dégagé, un nuage pour la pluie, des flocons de neige pour la neige, etc. Cet effet persiste pendant 1 tour.

* Vous faites instantanément fleurir une fleur, ouvrir une gousse ou faire fleurir un bourgeon de feuille.

* Vous créez un effet sensoriel instantané et inoffensif, comme des feuilles qui tombent, un souffle de vent, le son d'un petit animal ou le faible chant d'une mouffette. L'effet doit tenir dans un cube de 1,5 m.

* Vous allumez ou éteignez instantanément une bougie, une torche ou un petit feu de camp.",
